BTC LTC ETH Y:M:D:h:m:s Ti-T0
8892.5 150.41 637.35 2018:04:23:01:01:01 41212800.0
9308.95 161.78 688.6 2018:04:24:01:01:01 41299200.0
9209.28 151.16 642.63 2018:04:25:01:01:01 41385600.0
8881.02 146.62 630.59 2018:04:26:01:01:01 41472000.0
9214.4 150.62 664.67 2018:04:27:01:01:01 41558400.0
9233.92 150.09 675.77 2018:04:28:01:01:01 41644800.0
9344.26 152.2 683.22 2018:04:29:01:01:01 41731200.0
9283.75 150.79 680.86 2018:04:30:01:01:01 41817600.0
8987.34 145.42 656.4 2018:05:01:01:01:01 41904000.0
9108.89 148.59 677.21 2018:05:02:01:01:01 41990400.0
9362.01 155.62 732.04 2018:05:03:01:01:01 42076800.0
9649.0 161.57 780.46 2018:05:04:01:01:01 42163200.0
9818.43 173.98 806.76 2018:05:05:01:01:01 42249600.0
9609.72 171.9 788.05 2018:05:06:01:01:01 42336000.0
9338.18 163.93 741.22 2018:05:07:01:01:01 42422400.0
9261.22 162.01 748.04 2018:05:08:01:01:01 42508800.0
9185.6 156.39 738.42 2018:05:09:01:01:01 42595200.0
9266.13 156.53 752.41 2018:05:10:01:01:01 42681600.0
8703.84 141.94 697.91 2018:05:11:01:01:01 42768000.0
8425.37 138.67 671.09 2018:05:12:01:01:01 42854400.0
8551.23 141.93 703.99 2018:05:13:01:01:01 42940800.0
8577.0 142.5 717.33 2018:05:14:01:01:01 43027200.0
8642.02 144.04 722.86 2018:05:15:01:01:01 43113600.0
8280.01 137.76 694.6 2018:05:16:01:01:01 43200000.0
8277.57 137.74 698.72 2018:05:17:01:01:01 43286400.0
8104.22 132.96 678.15 2018:05:18:01:01:01 43372800.0
8255.44 135.48 696.3 2018:05:19:01:01:01 43459200.0
8361.26 137.01 709.73 2018:05:20:01:01:01 43545600.0
8451.74 136.55 704.8 2018:05:21:01:01:01 43632000.0
8231.32 132.54 679.09 2018:05:22:01:01:01 43718400.0
7783.34 123.78 612.77 2018:05:23:01:01:01 43804800.0
7534.09 120.8 586.51 2018:05:24:01:01:01 43891200.0
7486.82 120.41 593.91 2018:05:25:01:01:01 43977600.0
7487.3 120.36 594.68 2018:05:26:01:01:01 44064000.0
7309.77 117.62 573.69 2018:05:27:01:01:01 44150400.0
7250.28 114.66 537.37 2018:05:28:01:01:01 44236800.0
7289.73 116.54 542.18 2018:05:29:01:01:01 44323200.0
7427.67 119.2 560.83 2018:05:30:01:01:01 44409600.0
7499.21 118.91 571.75 2018:05:31:01:01:01 44496000.0
7478.67 118.69 575.11 2018:06:01:01:01:01 44582400.0
7597.95 122.06 587.86 2018:06:02:01:01:01 44668800.0
7691.06 125.19 610.72 2018:06:03:01:01:01 44755200.0
7557.35 121.18 598.73 2018:06:04:01:01:01 44841600.0
7487.82 118.95 593.64 2018:06:05:01:01:01 44928000.0
7602.14 120.94 603.65 2018:06:06:01:01:01 45014400.0
7690.45 121.62 606.77 2018:06:07:01:01:01 45100800.0
7628.45 119.84 600.35 2018:06:08:01:01:01 45187200.0
7627.51 119.73 602.09 2018:06:09:01:01:01 45273600.0
7134.36 111.75 558.03 2018:06:10:01:01:01 45360000.0
6761.94 106.46 526.08 2018:06:11:01:01:01 45446400.0
6753.3 104.96 520.13 2018:06:12:01:01:01 45532800.0
6439.56 95.9 480.43 2018:06:13:01:01:01 45619200.0
6500.06 97.37 492.46 2018:06:14:01:01:01 45705600.0
6548.72 98.13 501.03 2018:06:15:01:01:01 45792000.0
6459.77 95.96 495.48 2018:06:16:01:01:01 45878400.0
6505.73 96.48 500.4 2018:06:17:01:01:01 45964800.0
6521.33 95.65 501.18 2018:06:18:01:01:01 46051200.0
6717.35 98.37 527.06 2018:06:19:01:01:01 46137600.0
6680.05 97.03 528.58 2018:06:20:01:01:01 46224000.0
6733.46 97.17 532.74 2018:06:21:01:01:01 46310400.0
6357.6 89.0 489.18 2018:06:22:01:01:01 46396800.0
6133.02 83.9 471.41 2018:06:23:01:01:01 46483200.0
6019.9 79.21 450.57 2018:06:24:01:01:01 46569600.0
6200.61 81.28 457.23 2018:06:25:01:01:01 46656000.0
6201.48 80.27 448.58 2018:06:26:01:01:01 46742400.0
6094.63 78.24 433.01 2018:06:27:01:01:01 46828800.0
6082.69 78.87 434.25 2018:06:28:01:01:01 46915200.0
5904.67 74.38 415.87 2018:06:29:01:01:01 47001600.0
6362.72 81.27 449.09 2018:06:30:01:01:01 47088000.0
